10, 3.218650817871094e-05
9, 1.8358230590820312e-05
10, 1.4066696166992188e-05
9, 6.9141387939453125e-06
10, 1.0967254638671875e-05
10, 1.1205673217773438e-05
10, 5.4836273193359375e-06
9, 8.58306884765625e-06
10, 1.3589859008789062e-05
10, 8.106231689453125e-06
9, 8.58306884765625e-06
7, 8.821487426757812e-06
8, 4.76837158203125e-06
9, 8.344650268554688e-06
9, 1.1205673217773438e-05
10, 1.2636184692382812e-05
10, 5.9604644775390625e-06
10, 5.0067901611328125e-06
9, 6.198883056640625e-06
9, 6.67572021484375e-06
10, 8.58306884765625e-06
10, 1.5974044799804688e-05
11, 9.298324584960938e-06
11, 1.1205673217773438e-05
11, 6.67572021484375e-06
11, 9.298324584960938e-06
11, 5.0067901611328125e-06
11, 1.239776611328125e-05
8, 6.4373016357421875e-06
11, 1.0728836059570312e-05
11, 1.0728836059570312e-05
11, 6.198883056640625e-06
11, 5.9604644775390625e-06
9, 7.62939453125e-06
11, 1.1920928955078125e-05
8, 5.0067901611328125e-06
7, 4.76837158203125e-06
10, 5.0067901611328125e-06
11, 5.0067901611328125e-06
11, 3.552436828613281e-05
11, 1.811981201171875e-05
9, 6.4373016357421875e-06
12, 7.3909759521484375e-06
12, 6.9141387939453125e-06
9, 9.298324584960938e-06
8, 1.0251998901367188e-05
12, 8.821487426757812e-06
10, 8.344650268554688e-06
10, 1.1682510375976562e-05
12, 5.4836273193359375e-06
10, 5.245208740234375e-06
11, 1.2874603271484375e-05
11, 1.0013580322265625e-05
12, 9.059906005859375e-06
12, 1.5020370483398438e-05
10, 6.4373016357421875e-06
12, 5.9604644775390625e-06
12, 4.5299530029296875e-06
11, 5.0067901611328125e-06
12, 6.4373016357421875e-06
12, 3.647804260253906e-05
11, 1.239776611328125e-05
10, 9.059906005859375e-06
11, 2.1696090698242188e-05
13, 5.7697296142578125e-05
11, 1.33514404296875e-05
13, 9.298324584960938e-06
12, 7.867813110351562e-06
12, 1.2636184692382812e-05
12, 1.1205673217773438e-05
13, 3.361701965332031e-05
13, 6.67572021484375e-06
12, 6.4373016357421875e-06
12, 5.4836273193359375e-06
10, 2.4318695068359375e-05
13, 1.1205673217773438e-05
12, 1.430511474609375e-06
7, 6.4373016357421875e-06
12, 3.2901763916015625e-05
11, 5.0067901611328125e-06
11, 1.0251998901367188e-05
12, 8.106231689453125e-06
10, 1.2874603271484375e-05
13, 1.430511474609375e-05
14, 5.7220458984375e-06
13, 6.9141387939453125e-06
14, 8.344650268554688e-06
13, 8.821487426757812e-06
7, 5.245208740234375e-06
5, 1.430511474609375e-06
